WORD,FREQUENCY,PHONEME_LENGTH,MONOMORPHEME,ORTHO_LENGTH,LOG_FREQ,LANG
mogen,30131,4,TRUE,5,10.3133098210857,Dutch
terwijl,29359,7,FALSE,7,10.2873544222029,Dutch
voelen,29234,4,TRUE,6,10.2830876944492,Dutch
steeds,29021,4,TRUE,6,10.2757749848383,Dutch
bestaan,28028,6,FALSE,7,10.2409592894904,Dutch
plaats,27996,4,TRUE,6,10.2398169218094,Dutch
wie,27905,2,TRUE,3,10.2365611632225,Dutch
ten,27604,3,TRUE,3,10.2257159687405,Dutch
misschien,27367,6,TRUE,9,10.2170931869662,Dutch
mee,27148,2,TRUE,3,10.2090586578236,Dutch
velen,27079,4,TRUE,5,10.2065137987225,Dutch
stellen,27078,5,TRUE,7,10.2064768690551,Dutch
huis,26719,4,TRUE,4,10.1931302018005,Dutch
vallen,26001,4,TRUE,6,10.1658902778025,Dutch
binnen,25931,4,TRUE,6,10.1631944431574,Dutch
anders,25447,6,FALSE,6,10.144353136838,Dutch
enkel,25285,5,TRUE,5,10.1379666135141,Dutch
moeder,25272,5,TRUE,6,10.1374523424819,Dutch
spreken,25142,6,TRUE,7,10.1322950334748,Dutch
woord,25099,4,TRUE,5,10.1305832836888,Dutch
ja,24734,2,TRUE,2,10.115934094302,Dutch
wanneer,24665,5,TRUE,7,10.1131405136678,Dutch
zeker,24630,5,TRUE,5,10.1117204911146,Dutch
vader,24408,5,TRUE,5,10.1026662263965,Dutch
achter,24378,5,TRUE,6,10.1014363652158,Dutch
terug,24275,5,TRUE,5,10.0972022931595,Dutch
hen,24200,3,TRUE,3,10.0941079121448,Dutch
werk,24197,4,TRUE,4,10.0939839375181,Dutch
lijken,24119,5,TRUE,6,10.0907551906118,Dutch
mogelijk,23450,7,FALSE,8,10.0626257738744,Dutch
elk,23154,3,TRUE,3,10.0499228307657,Dutch
ver,23125,3,TRUE,3,10.0486695623806,Dutch
hoofd,23062,4,TRUE,5,10.0459415203311,Dutch
geval,22864,5,FALSE,5,10.0373189001696,Dutch
enig,22771,4,FALSE,4,10.0332430755287,Dutch
echter,22159,5,TRUE,6,10.0059990134892,Dutch
vertellen,21770,7,FALSE,9,9.98828815422859,Dutch
volgen,21720,5,TRUE,6,9.98598877404787,Dutch
jij,21624,3,TRUE,3,9.98155908795628,Dutch
klein,21535,5,TRUE,5,9.97743479748821,Dutch
kennen,21514,4,TRUE,6,9.97645916499195,Dutch
natuurlijk,21418,8,FALSE,10,9.97198696896082,Dutch
zeer,21391,3,TRUE,4,9.97072555180181,Dutch
gezicht,21379,6,FALSE,7,9.97016441080041,Dutch
waarin,21233,5,FALSE,6,9.96331185418179,Dutch
drie,21217,3,TRUE,4,9.96255802611312,Dutch
schrijven,21201,7,TRUE,9,9.96180362935896,Dutch
waarom,20949,5,FALSE,6,9.94984619151415,Dutch
paar,20819,3,TRUE,4,9.94362131027577,Dutch
ieder,20772,4,TRUE,5,9.94136120496421,Dutch
oud,20545,3,TRUE,3,9.93037288131751,Dutch
grote,20472,5,FALSE,5,9.92681337783963,Dutch
vaak,20323,3,TRUE,4,9.91950852859031,Dutch
vraag,20154,4,TRUE,5,9.91115805884035,Dutch
trekken,20145,5,TRUE,7,9.91071139762545,Dutch
iemand,19693,5,FALSE,6,9.8880185216322,Dutch
zo'n,19645,3,TRUE,4,9.88557813199256,Dutch
blijken,19597,6,TRUE,7,9.88313177227905,Dutch
net,19595,3,TRUE,3,9.88302971063373,Dutch
soms,19260,4,TRUE,4,9.86578568535212,Dutch
wereld,19256,6,TRUE,6,9.86557797946291,Dutch
keer,19220,3,TRUE,4,9.86370668252428,Dutch
boven,18908,4,TRUE,5,9.84734039191313,Dutch
duidelijk,18883,8,FALSE,9,9.84601732538158,Dutch
buiten,18863,5,TRUE,6,9.84495761034573,Dutch
gebeuren,18824,6,FALSE,8,9.8428879304072,Dutch
vooral,18438,5,FALSE,6,9.82216903135854,Dutch
noemen,18351,4,TRUE,6,9.81743934791067,Dutch
begrijpen,18184,8,FALSE,9,9.80829736553238,Dutch
belangrijk,18171,9,FALSE,10,9.80758219564906,Dutch
nodig,18148,5,FALSE,5,9.80631564078385,Dutch
leggen,18068,4,TRUE,6,9.80189769677449,Dutch
uur,18025,2,TRUE,3,9.79951496215315,Dutch
zaak,17954,3,TRUE,4,9.79556821031663,Dutch
bijna,17880,5,FALSE,5,9.79143804872751,Dutch
land,17876,4,TRUE,4,9.79121431005334,Dutch
alsof,17861,5,FALSE,5,9.79037484390448,Dutch
proberen,17811,7,TRUE,8,9.78757152293879,Dutch
erg,17806,3,TRUE,3,9.78729075813362,Dutch
naam,17790,3,TRUE,4,9.78639178065988,Dutch
halen,17748,4,TRUE,5,9.7840281124988,Dutch
heen,17731,3,TRUE,4,9.78306979905699,Dutch
zetten,17652,4,TRUE,6,9.77860437038944,Dutch
gebruiken,17227,8,FALSE,9,9.75423319944637,Dutch
soort,17209,4,TRUE,5,9.75318778176491,Dutch
slechts,17121,5,FALSE,7,9.74806105920482,Dutch
werken,17080,5,TRUE,6,9.74566346734256,Dutch
hoog,17053,3,TRUE,4,9.74408142031291,Dutch
vol,17038,3,TRUE,3,9.74320142260279,Dutch
helemaal,17004,7,FALSE,8,9.74120388947868,Dutch
juist,16928,5,TRUE,5,9.73672433465803,Dutch
welk,16836,4,TRUE,4,9.73127472989046,Dutch
licht,16775,4,TRUE,5,9.72764496183988,Dutch
meest,16661,4,FALSE,5,9.72082593792907,Dutch
sterk,16548,5,TRUE,5,9.7140205275813,Dutch
deel,16457,3,TRUE,4,9.70850619759538,Dutch
echt,16432,3,TRUE,4,9.70698593216834,Dutch
boek,16404,3,TRUE,4,9.70528048651195,Dutch
dood,16339,3,TRUE,4,9.70131016703082,Dutch
snel,16313,4,TRUE,4,9.6997176149363,Dutch
spelen,16115,5,TRUE,6,9.68750579424954,Dutch
aantal,16009,5,FALSE,6,9.68090634307809,Dutch
deur,15927,3,TRUE,4,9.67577106125178,Dutch
tweede,15883,5,FALSE,6,9.67300463383516,Dutch
manier,15877,5,TRUE,6,9.67262680007751,Dutch
nee,15795,2,TRUE,3,9.66744871323619,Dutch
ding,15709,3,TRUE,4,9.66198907549994,Dutch
geheel,15486,5,FALSE,6,9.64769166894667,Dutch
uw,15484,2,FALSE,2,9.64756251169754,Dutch
kamer,15474,5,TRUE,5,9.6469164751094,Dutch
water,15443,5,TRUE,5,9.644911105223,Dutch
naast,15416,4,FALSE,5,9.6431612100942,Dutch
allemaal,15389,6,FALSE,8,9.64140824746385,Dutch
jongen,15266,4,TRUE,6,9.63338341235842,Dutch
meisje,15121,6,FALSE,6,9.62383978511267,Dutch
roepen,15111,4,TRUE,6,9.62317823441376,Dutch
mooi,15065,3,TRUE,4,9.6201294515644,Dutch
feit,15011,4,TRUE,4,9.61653854466018,Dutch
jong,15008,3,TRUE,4,9.61633867124601,Dutch
grond,14944,5,TRUE,5,9.61206516046862,Dutch
algemeen,14935,7,FALSE,8,9.61146273065021,Dutch
leren,14870,4,TRUE,5,9.6071010394542,Dutch
wachten,14839,5,TRUE,7,9.60501412900613,Dutch
zin,14811,3,TRUE,3,9.60312542692697,Dutch
kort,14756,4,TRUE,4,9.59940505871657,Dutch
zichzelf,14709,7,FALSE,8,9.59621483031934,Dutch
praten,14570,5,TRUE,6,9.58671989918925,Dutch
eigenlijk,14501,7,FALSE,9,9.5819728915479,Dutch
open,14450,3,TRUE,4,9.57844969354058,Dutch
probleem,14392,7,TRUE,8,9.57442777563037,Dutch
langs,14329,4,TRUE,5,9.5700407347166,Dutch
vorm,14109,4,TRUE,4,9.55456817061316,Dutch
vast,14084,4,TRUE,4,9.55279468027494,Dutch
zoeken,13945,4,TRUE,6,9.54287630006159,Dutch
wit,13840,3,TRUE,3,9.53531822917166,Dutch
niemand,13812,6,FALSE,7,9.53329305850988,Dutch
daarom,13782,5,FALSE,6,9.53111867191715,Dutch
slaan,13752,4,TRUE,5,9.52893954706268,Dutch
stad,13701,4,TRUE,4,9.52522410185311,Dutch
groep,13676,4,TRUE,5,9.52339775075919,Dutch
geloven,13646,6,FALSE,7,9.52120171737537,Dutch
politiek,13613,7,FALSE,8,9.51878049751247,Dutch
ter,13595,3,FALSE,3,9.51745735706657,Dutch
gewoon,13509,5,TRUE,6,9.51111140896968,Dutch
't,13407,2,TRUE,2,9.50353223760156,Dutch
bepalen,13245,6,FALSE,7,9.49137540170617,Dutch
vroeg,13177,4,TRUE,5,9.48622816454525,Dutch
wijze,13139,5,FALSE,5,9.48334018564182,Dutch
samen,13050,4,TRUE,5,9.47654341275084,Dutch
stem,12992,4,TRUE,4,9.47208906240146,Dutch
nou,12867,3,TRUE,3,9.46242117318499,Dutch
lezen,12834,4,TRUE,5,9.45985317831046,Dutch
beetje,12791,5,FALSE,6,9.45649707759939,Dutch
zodat,12786,5,FALSE,5,9.45610610132667,Dutch
lachen,12773,4,TRUE,6,9.45508884704278,Dutch
bed,12733,3,TRUE,3,9.45195232757344,Dutch
genoeg,12669,5,FALSE,6,9.44691334360205,Dutch
eten,12662,3,TRUE,4,9.44636066110407,Dutch
verder,12651,6,FALSE,6,9.44549154241467,Dutch
God,12618,3,FALSE,3,9.44287964493076,Dutch
moment,12617,6,TRUE,6,9.44280038992774,Dutch
daarna,12498,5,FALSE,6,9.43332391048903,Dutch
kant,12455,4,TRUE,4,9.42987742769628,Dutch
week,12450,3,TRUE,4,9.42947590189285,Dutch
volgens,12380,7,FALSE,7,9.42383754623859,Dutch
lichaam,12378,5,TRUE,7,9.42367598229931,Dutch
staat,12305,4,TRUE,5,9.41776096282516,Dutch
der,12228,3,FALSE,3,9.41148368301073,Dutch
waarop,12228,5,FALSE,6,9.41148368301073,Dutch
moeilijk,12122,6,FALSE,8,9.40277726251123,Dutch
vriend,12053,5,TRUE,6,9.39706887058834,Dutch
avond,12052,5,TRUE,5,9.39698590025019,Dutch
stuk,11976,4,TRUE,4,9.39065992609946,Dutch
dragen,11963,5,TRUE,6,9.38957383217091,Dutch
's,11895,1,TRUE,2,9.38387342273706,Dutch
geld,11880,4,TRUE,4,9.38261159291664,Dutch
later,11870,5,FALSE,5,9.38176948760371,Dutch
pas,11860,3,TRUE,3,9.38092667255172,Dutch
diep,11855,3,TRUE,4,9.38050499849951,Dutch
iedereen,11842,6,FALSE,8,9.37940781309172,Dutch
reeds,11779,3,TRUE,5,9.37407356395878,Dutch
laatst,11769,4,FALSE,6,9.37322423487766,Dutch
dezelfde,11762,8,FALSE,8,9.3726292750199,Dutch
helpen,11749,5,TRUE,6,9.37152340956757,Dutch
hangen,11746,4,TRUE,6,9.37126803608247,Dutch
gedachte,11735,7,FALSE,8,9.37033110828512,Dutch
betekenen,11718,8,FALSE,9,9.36888140010473,Dutch
recht,11659,4,TRUE,5,9.36383369293329,Dutch
vormen,11573,5,TRUE,6,9.35643007784808,Dutch
tijdens,11464,7,FALSE,7,9.34696696950801,Dutch
dienen,11429,4,TRUE,6,9.3439092638976,Dutch
waarvan,11421,6,FALSE,7,9.34320904505061,Dutch
bekend,11360,6,FALSE,6,9.33785369227514,Dutch
bijvoorbeeld,11307,10,FALSE,12,9.33317728193525,Dutch
rond,11299,4,TRUE,4,9.33246950520925,Dutch
arm,11294,3,TRUE,3,9.33202689023278,Dutch
nacht,11257,4,TRUE,5,9.3287454363548,Dutch
graag,11221,4,TRUE,5,9.32554230166487,Dutch
belang,11163,5,FALSE,6,9.32036001701473,Dutch
beide,11116,5,TRUE,5,9.31614079086239,Dutch
jullie,11034,4,TRUE,6,9.30873669383238,Dutch
leiden,10955,5,TRUE,6,9.30155125202957,Dutch
ontstaan,10944,7,FALSE,8,9.30054663986233,Dutch
ontwikkeling,10887,10,FALSE,12,9.29532469588118,Dutch
zoveel,10860,5,FALSE,6,9.29284159348793,Dutch
vrij,10796,4,TRUE,4,9.2869309741379,Dutch
zit,10796,3,TRUE,3,9.2869309741379,Dutch
steken,10772,5,TRUE,6,9.28470545393149,Dutch
per,10768,3,TRUE,3,9.28433405188451,Dutch
gevoel,10625,5,FALSE,6,9.27096499379262,Dutch
verdwijnen,10596,9,FALSE,10,9.26823185039196,Dutch
half,10588,4,TRUE,4,9.26747656334699,Dutch
wijzen,10582,5,TRUE,6,9.26690972346408,Dutch
tafel,10483,5,TRUE,5,9.25751017645257,Dutch
ervan,10441,5,FALSE,5,9.25349564229011,Dutch
vier,10304,3,TRUE,4,9.24028744834414,Dutch
school,10292,4,TRUE,6,9.23912217340163,Dutch
gebied,10251,5,FALSE,6,9.2351305407834,Dutch
bijzonder,10209,8,FALSE,9,9.23102496316902,Dutch
hoeven,10197,4,TRUE,6,9.22984883836423,Dutch
beter,10188,5,FALSE,5,9.22896583609935,Dutch
bedoelen,10172,6,FALSE,8,9.22739412654201,Dutch
kleine,10166,6,FALSE,6,9.22680409800685,Dutch
bereiken,10111,7,FALSE,8,9.2213792190914,Dutch
veranderen,10109,9,FALSE,10,9.22118139515406,Dutch
verhaal,10107,6,FALSE,7,9.22098353207466,Dutch
oude,9974,4,FALSE,4,9.20773698610607,Dutch
gegeven,9888,6,FALSE,7,9.19907717969747,Dutch
hoewel,9856,5,FALSE,6,9.1958356857733,Dutch
draaien,9850,5,TRUE,7,9.19522673416613,Dutch
daarbij,9843,6,FALSE,7,9.19451582162921,Dutch
sociaal,9842,5,FALSE,7,9.19441422142592,Dutch
zwaar,9812,4,TRUE,5,9.19136140537838,Dutch
precies,9801,6,FALSE,7,9.19023970026918,Dutch
schijnen,9770,6,TRUE,8,9.18707174503683,Dutch
hard,9760,4,TRUE,4,9.18604767940714,Dutch
lid,9753,3,TRUE,3,9.18533020897202,Dutch
gevolg,9747,6,FALSE,6,9.18471482433721,Dutch
wijn,9735,4,TRUE,4,9.1834829178063,Dutch
maand,9727,4,TRUE,5,9.18266080286944,Dutch
voorbeeld,9719,7,FALSE,9,9.18183801150347,Dutch
eeuw,9711,2,TRUE,4,9.18101454259435,Dutch
Nederlands,9700,9,FALSE,10,9.17988116449147,Dutch
situatie,9677,8,FALSE,8,9.17750721488094,Dutch
mond,9653,4,TRUE,4,9.17502402684861,Dutch
opnieuw,9649,5,FALSE,7,9.17460956202038,Dutch
vroeger,9636,6,FALSE,7,9.17326136373476,Dutch
bovendien,9631,7,FALSE,9,9.17274234156086,Dutch
mogelijkheid,9623,11,FALSE,12,9.1719113453564,Dutch
middel,9620,5,TRUE,6,9.17159954365975,Dutch
reden,9582,4,TRUE,5,9.16764161744307,Dutch
voet,9520,3,TRUE,4,9.16115012778541,Dutch
thuis,9453,4,FALSE,5,9.15408743042538,Dutch
raken,9419,4,TRUE,5,9.15048420482282,Dutch
bepaald,9389,6,FALSE,7,9.14729407025855,Dutch
merken,9381,5,TRUE,6,9.14644164612595,Dutch
vanuit,9336,6,FALSE,6,9.14163317396639,Dutch
Nederland,9333,9,FALSE,9,9.14131178556575,Dutch
begin,9328,5,FALSE,5,9.14077590859027,Dutch
tegenover,9245,8,FALSE,9,9.13183814382123,Dutch
vergeten,9222,7,FALSE,8,9.12934721276665,Dutch
idee,9207,3,TRUE,4,9.12771934328785,Dutch
laag,9113,3,TRUE,4,9.11745724449613,Dutch
ouder,9079,5,FALSE,5,9.11371933337176,Dutch
betreffen,9074,7,FALSE,9,9.11316846022391,Dutch
kracht,9050,5,TRUE,6,9.11052003669397,Dutch
waarbij,9039,6,FALSE,7,9.10930382779841,Dutch
wonen,9026,4,TRUE,5,9.10786458038695,Dutch
heer,9017,3,TRUE,4,9.10686696349991,Dutch
gebruik,8987,7,FALSE,7,9.10353436765837,Dutch
donker,8982,6,TRUE,6,9.10297785364768,Dutch
meteen,8948,5,FALSE,6,9.09918532261002,Dutch
drinken,8902,6,TRUE,7,9.0940312495758,Dutch
rol,8892,3,TRUE,3,9.09290727508409,Dutch
ooit,8867,3,TRUE,4,9.09009179938001,Dutch
jou,8861,3,TRUE,3,9.0894149040473,Dutch
antwoord,8843,7,FALSE,8,9.08738146457573,Dutch
punt,8840,4,TRUE,4,9.08704215563169,Dutch
dicht,8819,4,TRUE,5,9.08466376388818,Dutch
auto,8798,4,TRUE,4,9.08227970190866,Dutch
antwoorden,8748,8,FALSE,10,9.07658038179666,Dutch
slapen,8739,5,TRUE,6,9.07555104562754,Dutch
zowel,8710,5,FALSE,5,9.07222706984655,Dutch
kerk,8704,4,TRUE,4,9.07153796909572,Dutch
meneer,8688,5,FALSE,6,9.06969804217372,Dutch
plotseling,8641,9,FALSE,10,9.0642735958414,Dutch
onderzoek,8640,8,FALSE,9,9.0641578617981,Dutch
beweging,8626,7,FALSE,8,9.06253617720779,Dutch
blik,8603,4,TRUE,4,9.05986625862135,Dutch
rijden,8591,5,TRUE,6,9.05847042263806,Dutch
lijden,8582,5,TRUE,6,9.05742226555147,Dutch
kans,8562,4,TRUE,4,9.05508908670489,Dutch
waarschijnlijk,8557,11,FALSE,14,9.05450494041805,Dutch
gezien,8544,5,FALSE,6,9.05298456119998,Dutch
plan,8532,4,TRUE,4,9.05157907959124,Dutch
ogenblik,8511,7,FALSE,8,9.04911472347696,Dutch
brief,8494,4,TRUE,5,9.04711531087322,Dutch
aandacht,8446,6,FALSE,8,9.04144823549389,Dutch
langzaam,8443,6,FALSE,8,9.0410929746695,Dutch
richting,8422,6,FALSE,8,9.03860260872187,Dutch
gelden,8411,5,TRUE,6,9.03729565196244,Dutch
verschillen,8411,8,FALSE,11,9.03729565196244,Dutch
werkelijk,8376,8,FALSE,9,9.03312575255037,Dutch
geest,8375,4,TRUE,5,9.03300635669327,Dutch
morgen,8372,5,TRUE,6,9.03264808356589,Dutch
beeld,8362,4,TRUE,5,9.03145291191651,Dutch
sluiten,8351,6,TRUE,7,9.03013657115323,Dutch
verwachten,8345,8,FALSE,10,9.02941783609594,Dutch
richten,8289,5,TRUE,7,9.02268461359153,Dutch
oorlog,8285,5,TRUE,6,9.02220192986066,Dutch
zacht,8275,4,TRUE,5,9.02099420024526,Dutch
meestal,8245,6,FALSE,7,9.0173622349937,Dutch
straat,8245,5,TRUE,6,9.0173622349937,Dutch
persoon,8243,6,TRUE,7,9.01711963431323,Dutch
nauwelijks,8238,9,FALSE,10,9.01651287499603,Dutch
tien,8190,3,TRUE,4,9.01066917684711,Dutch
hetzelfde,8178,9,FALSE,9,9.00920290092459,Dutch
gelijk,8173,6,FALSE,6,9.00859131751613,Dutch
macht,8149,4,TRUE,5,9.00565049932022,Dutch
schouder,8113,7,TRUE,8,9.00122299239506,Dutch
daarvan,8100,6,FALSE,7,8.99961934066053,Dutch
klinken,8091,6,TRUE,7,8.99850761180784,Dutch
luisteren,8090,8,TRUE,9,8.99838401005254,Dutch
tenslotte,8083,8,FALSE,9,8.99751836973384,Dutch
menselijk,8077,8,FALSE,9,8.9967757954423,Dutch
invloed,8070,6,FALSE,7,8.99590876126399,Dutch
hart,8059,4,TRUE,4,8.99454475832451,Dutch
daarmee,8045,5,FALSE,7,8.99280605942648,Dutch
via,7999,4,TRUE,3,8.98707181284882,Dutch
zoon,7997,3,TRUE,4,8.98682175033189,Dutch
gang,7995,3,TRUE,4,8.98657162526805,Dutch
been,7991,3,TRUE,4,8.98607118737446,Dutch
dier,7990,3,TRUE,4,8.98594603876032,Dutch
slecht,7977,5,TRUE,6,8.98431767991113,Dutch
immers,7958,5,FALSE,6,8.98193299098687,Dutch
bezig,7954,5,TRUE,5,8.98143022576764,Dutch
Duits,7947,4,FALSE,5,8.98054977794018,Dutch
wet,7942,3,TRUE,3,8.9799204116912,Dutch
los,7936,3,TRUE,3,8.97916464896471,Dutch
bang,7921,3,TRUE,4,8.97727273946428,Dutch
verband,7918,7,FALSE,7,8.97689392766608,Dutch
heten,7793,4,TRUE,5,8.96098117384356,Dutch
vijf,7787,4,TRUE,4,8.96021095557699,Dutch
